"X","ROOT","MAIN.GENOME","DOMAIN","KINGDOM","SUPER.PHYLUM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"OTU_12","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria"
"OTU_13","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Campylobacterota"," Campylobacteria"," Campylobacterales"," Sulfurospirillaceae"," Sulfurospirillum","Unclassified_Sulfurospirillum"
"OTU_14","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Campylobacterota"," Campylobacteria"," Campylobacterales"," Sulfurimonadaceae"," Sulfurimonas","Unclassified_Sulfurimonas"
"OTU_15","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Xanthomonadales"," Xanthomonadaceae"," Stenotrophomonas","Unclassified_Stenotrophomonas"
"OTU_16","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Enterobacterales","Unclassified_Enterobacterales","Unclassified_Enterobacterales","Unclassified_Enterobacterales"
"OTU_17","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Firmicutes"," Bacilli"," Staphylococcales"," Staphylococcaceae"," Staphylococcus","Unclassified_Staphylococcus"
"OTU_18","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Pseudomonadales"," Moraxellaceae","Unclassified_Moraxellaceae","Unclassified_Moraxellaceae"
"OTU_19","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria"," Micrococcales"," Micrococcaceae"," Micrococcus","Unclassified_Micrococcus"
"OTU_20","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Pseudomonadales"," Pseudomonadaceae"," Pseudomonas","Unclassified_Pseudomonas"
"OTU_21","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Methylococcales"," Methylomonadaceae"," Methyloprofundus","Unclassified_Methyloprofundus"
"OTU_22","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Methylococcales"," Methylomonadaceae"," Methylomarinum","Unclassified_Methylomarinum"
"OTU_23","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales"," Oxalobacteraceae","Unclassified_Oxalobacteraceae","Unclassified_Oxalobacteraceae"
"OTU_24","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria"," Corynebacteriales"," Corynebacteriaceae"," Corynebacterium","Unclassified_Corynebacterium"
"OTU_25","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria"," Corynebacteriales"," Corynebacteriaceae","Unclassified_Corynebacteriaceae","Unclassified_Corynebacteriaceae"
"OTU_26","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," S085","Unclassified_S085","Unclassified_S085","Unclassified_S085"
"OTU_27","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Campylobacterota"," Campylobacteria"," Campylobacterales"," Sulfurimonadaceae"," Sulfurimonas","Unclassified_Sulfurimonas"
"OTU_28","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Nitrosococcales"," Methylophagaceae","Unclassified_Methylophagaceae","Unclassified_Methylophagaceae"
"OTU_29","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae","Unclassified_Rhodobacteraceae","Unclassified_Rhodobacteraceae"
"OTU_30","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Campylobacterota"," Campylobacteria"," Campylobacterales"," Sulfurovaceae"," Sulfurovum","Unclassified_Sulfurovum"
"OTU_31","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Crocinitomicaceae"," Crocinitomix","Unclassified_Crocinitomix"
"OTU_32","root"," Main genome"," Archaea"," Archaea (superkingdom)"," TACK"," Thaumarchaeota"," Nitrososphaeria"," Nitrosopumilales"," Nitrosopumilaceae","Unclassified_Nitrosopumilaceae","Unclassified_Nitrosopumilaceae"
"OTU_33","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Schekmanbacteria superphylum"," Schekmanbacteria","Unclassified_Schekmanbacteria","Unclassified_Schekmanbacteria","Unclassified_Schekmanbacteria","Unclassified_Schekmanbacteria","Unclassified_Schekmanbacteria"
"OTU_34","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Thiomicrospirales"," Thiomicrospiraceae"," Thiomicrorhabdus","Unclassified_Thiomicrorhabdus"
"OTU_35","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Kordiimonadales"," Kordiimonadaceae"," Kordiimonas","Unclassified_Kordiimonas"
"OTU_36","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Schekmanbacteria superphylum"," Schekmanbacteria","Unclassified_Schekmanbacteria","Unclassified_Schekmanbacteria","Unclassified_Schekmanbacteria","Unclassified_Schekmanbacteria","Unclassified_Schekmanbacteria"
"OTU_37","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Campylobacterota"," Campylobacteria"," Campylobacterales"," Sulfurimonadaceae"," Sulfurimonas","Unclassified_Sulfurimonas"
"OTU_38","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhodospirillales"," Magnetospiraceae","Unclassified_Magnetospiraceae","Unclassified_Magnetospiraceae"
"OTU_39","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Kiloniellales"," Kiloniellaceae","Unclassified_Kiloniellaceae","Unclassified_Kiloniellaceae"
"OTU_40","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Enterobacterales","Unclassified_Enterobacterales","Unclassified_Enterobacterales","Unclassified_Enterobacterales"
"OTU_41","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhodospirillales"," Magnetospiraceae","Unclassified_Magnetospiraceae","Unclassified_Magnetospiraceae"
"OTU_42","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Campylobacterota"," Campylobacteria"," Campylobacterales"," Arcobacteraceae","Unclassified_Arcobacteraceae","Unclassified_Arcobacteraceae"
"OTU_43","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade"
