OTU,IO1-1_IO1-1_S000,IO1-1_IO1-1_S002,IO1-1_IO1-1_S004,IO1-1_IO1-1_S006,IO1-1_IO1-1_S008,IO1-1_IO1-1_S015,IO1-1_IO1-1_S025,IO1-2_IO1-2_S000,IO1-2_IO1-2_S002,IO1-2_IO1-2_S004,IO1-2_IO1-2_S006,IO1-2_IO1-2_S008,IO1-2_IO1-2_S009,IO1-2_IO1-2_S010,IO1-2_IO1-2_S020,IO3_IO3_S000,IO3_IO3_S004,IO3_IO3_S008,IO3_IO3_S010,IO3_IO3_S015,IOA_IOA_S000,IOA_IOA_S002,IOA_IOA_S003,IOA_IOA_S004,IOA_IOA_S005,IOA_IOA_S010,IOB_IOB_S000,IOB_IOB_S013,IOB_IOB_S033,IOB_IOB_S053,IOB_IOB_S073,IOB_IOB_S093,IOB_IOB_S113,IOC_IOC_S000,IOC_IOC_S010,IOC_IOC_S015,IOC_IOC_S020,IOC_IOC_S030,IOC_IOC_S045,IOC_IOC_S065,IOC_IOC_S085,IOC_IOC_S105,IOC_IOC_S145,IOD_IOD_S000,IOD_IOD_S003,IOD_IOD_S005,IOD_IOD_S008,IOD_IOD_S010,IOD_IOD_S015,IOD_IOD_S020,IOD_IOD_S025,JC_JC_S000,JC_JC_S002,JC_JC_S004,JC_JC_S006,JC_JC_S008,JC_JC_S010,JC_JC_S020,JC_JC_S037,MA2_MA2_S002,MA2_MA2_S004,MA2_MA2_S010,MA2_MA2_S020,MA2_MA2_S030,MC-1_MC-1_S000,MC-1_MC-1_S005,MC-1_MC-1_S010,MC-1_MC-1_S020,MC-1_MC-1_S025,MC-2_MC-2_S000,MC-2_MC-2_S004,MC-2_MC-2_S010,MC-2_MC-2_S020,MC-2_MC-2_S030,MC-2_MC-2_S040,ME_ME_S000,ME_ME_S002,ME_ME_S005,ME_ME_S010,ME_ME_S015,ME_ME_S020,ME_ME_S025,ME_ME_S030,MD_MD_S000,MD_MD_S002,MD_MD_S005,MD_MD_S015,MF_MF_S000,MF_MF_S002,MF_MF_S005,MF_MF_S015
OTU_1002,0,0,0,0,0,2,0,0,0,0,0,1,7,0,0,22,3,0,0,0,45,28,52,27,26,9,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,0,4,2,18,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,132,27,23,30,95,0,0,1,14,15,5,0,22,14,3,0
OTU_10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0
OTU_10022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
OTU_10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU_10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
OTU_10026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,2,1,0,0,1,0,0,0
OTU_10027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
