Name,Core,CoreID,Depth,SeqName
SCS_SCS008_190,SCS_SCS008,SCS008,190,SRR11088507
SCS_SCS008_2,SCS_SCS008,SCS008,2,SRR11088506
SCS_SCS008_290,SCS_SCS008,SCS008,290,SRR11088505
SCS_SCS008_30,SCS_SCS008,SCS008,30,SRR11088504
SCS_SCS008_390,SCS_SCS008,SCS008,390,SRR11088503
SCS_SCS008_490,SCS_SCS008,SCS008,490,SRR11088502
SCS_SCS008_50,SCS_SCS008,SCS008,50,SRR11088501
SCS_SCS008_590,SCS_SCS008,SCS008,590,SRR11088500
SCS_SCS008_6,SCS_SCS008,SCS008,6,SRR11088499
SCS_SCS008_690,SCS_SCS008,SCS008,690,SRR11088497
SCS_SCS008_790,SCS_SCS008,SCS008,790,SRR11088496
SCS_SCS008_90,SCS_SCS008,SCS008,90,SRR11088495
SCS_SCS009_1,SCS_SCS009,SCS009,1,SRR11088494
SCS_SCS009_10,SCS_SCS009,SCS009,10,SRR11088493
SCS_SCS009_190,SCS_SCS009,SCS009,190,SRR11088492
SCS_SCS009_2,SCS_SCS009,SCS009,2,SRR11088491
SCS_SCS009_290,SCS_SCS009,SCS009,290,SRR11088490
SCS_SCS009_30,SCS_SCS009,SCS009,30,SRR11088489
SCS_SCS009_390,SCS_SCS009,SCS009,390,SRR11088488
SCS_SCS009_490,SCS_SCS009,SCS009,490,SRR11088618
SCS_SCS009_50,SCS_SCS009,SCS009,50,SRR11088617
SCS_SCS009_590,SCS_SCS009,SCS009,590,SRR11088616
SCS_SCS009_6,SCS_SCS009,SCS009,6,SRR11088615
SCS_SCS009_690,SCS_SCS009,SCS009,690,SRR11088614
SCS_SCS009_790,SCS_SCS009,SCS009,790,SRR11088613
SCS_SCS009_90,SCS_SCS009,SCS009,90,SRR11088612
SCS_SCS010_1,SCS_SCS010,SCS010,1,SRR11088611
SCS_SCS010_10,SCS_SCS010,SCS010,10,SRR11088610
SCS_SCS010_190,SCS_SCS010,SCS010,190,SRR11088609
SCS_SCS010_2,SCS_SCS010,SCS010,2,SRR11088607
SCS_SCS010_290,SCS_SCS010,SCS010,290,SRR11088606
SCS_SCS010_30,SCS_SCS010,SCS010,30,SRR11088605
SCS_SCS010_390,SCS_SCS010,SCS010,390,SRR11088604
SCS_SCS010_490,SCS_SCS010,SCS010,490,SRR11088603
SCS_SCS010_50,SCS_SCS010,SCS010,50,SRR11088602
SCS_SCS010_590,SCS_SCS010,SCS010,590,SRR11088601
SCS_SCS010_6,SCS_SCS010,SCS010,6,SRR11088600
SCS_SCS010_690,SCS_SCS010,SCS010,690,SRR11088599
SCS_SCS010_90,SCS_SCS010,SCS010,90,SRR11088598
SCS_SCS011_1,SCS_SCS011,SCS011,1,SRR11088596
SCS_SCS011_10,SCS_SCS011,SCS011,10,SRR11088595
SCS_SCS011_190,SCS_SCS011,SCS011,190,SRR11088594
SCS_SCS011_2,SCS_SCS011,SCS011,2,SRR11088593
SCS_SCS011_290,SCS_SCS011,SCS011,290,SRR11088592
SCS_SCS011_30,SCS_SCS011,SCS011,30,SRR11088591
SCS_SCS011_390,SCS_SCS011,SCS011,390,SRR11088590
SCS_SCS011_490,SCS_SCS011,SCS011,490,SRR11088589
SCS_SCS011_50,SCS_SCS011,SCS011,50,SRR11088588
SCS_SCS011_590,SCS_SCS011,SCS011,590,SRR11088587
SCS_SCS011_6,SCS_SCS011,SCS011,6,SRR11088585
SCS_SCS011_690,SCS_SCS011,SCS011,690,SRR11088584
SCS_SCS011_790,SCS_SCS011,SCS011,790,SRR11088583
SCS_SCS011_90,SCS_SCS011,SCS011,90,SRR11088582
