# OTU,ROOT,MAIN.GENOME,DOMAIN,KINGDOM,SUPER.PHYLUM,PHYLUM,CLASS,ORDER,FAMILY
OTU_1,root,Main genome,Archaea,Archaea (superkingdom),Asgard,Lokiarchaeota,Lokiarchaeia,Unclassified_Lokiarchaeia,Unclassified_Lokiarchaeia
OTU_10,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Brocadiae, Brocadiales, Scalinduaceae
OTU_100,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Phycisphaerae, Phycisphaerales, Phycisphaeraceae
OTU_1000,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Phycisphaerae, MSBL9, SG8-4
OTU_10000,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Bdellovibrionota, Oligoflexia, 0319-6G20,Unclassified_0319-6G20
OTU_10002,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Dehalococcoidia, SAR202 clade,Unclassified_SAR202 clade
OTU_10004,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, SAR324 clade(Marine group B),Unclassified_SAR324 clade(Marine group B),Unclassified_SAR324 clade(Marine group B),Unclassified_SAR324 clade(Marine group B)
OTU_10005,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, AT-s3-44,Unclassified_AT-s3-44
OTU_10006,root, Main genome, Bacteria, Bacteria (superkingdom), Poribacteria superphylum, Poribacteria,Unclassified_Poribacteria,Unclassified_Poribacteria,Unclassified_Poribacteria
OTU_10007,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Phycisphaerae, Phycisphaerales,Unclassified_Phycisphaerales
OTU_10008,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Phycisphaerae, C86,Unclassified_C86
OTU_10009,root, Main genome, Archaea, Archaea (superkingdom), DPANN, Nanoarchaeota, Nanoarchaeia,Unclassified_Nanoarchaeia,Unclassified_Nanoarchaeia
OTU_1001,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Myxococcota, Myxococcia, Myxococcales,Unclassified_Myxococcales
OTU_10010,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Coxiellales,Unclassified_Coxiellales
OTU_10011,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, NB1-j,Unclassified_NB1-j,Unclassified_NB1-j,Unclassified_NB1-j
OTU_10012,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, EPR3968-O8a-Bc78,Unclassified_EPR3968-O8a-Bc78
OTU_10013,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Latescibacterota, Latescibacteria, Latescibacterales, Latescibacteraceae
OTU_10014,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Magnetospiraceae
OTU_10016,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria,Unclassified_Gammaproteobacteria,Unclassified_Gammaproteobacteria
OTU_10017,root, Main genome, Bacteria, Bacteria (superkingdom), Margulisbacteria superphylum, Margulisbacteria,Unclassified_Margulisbacteria,Unclassified_Margulisbacteria,Unclassified_Margulisbacteria
OTU_10018,root, Main genome, Bacteria, Bacteria (superkingdom), Sumerlaeota superphylum, Sumerlaeota, Sumerlaeia, Sumerlaeales, Sumerlaeaceae
OTU_10019,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Chlamydiae, LD1-PA32,Unclassified_LD1-PA32
OTU_1002,root, Main genome, Bacteria, Bacteria (superkingdom), PAUC34f,Unclassified_PAUC34f,Unclassified_PAUC34f,Unclassified_PAUC34f,Unclassified_PAUC34f
OTU_10020,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Caulobacterales, Hyphomonadaceae
OTU_10021,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Planctomycetes, Pirellulales, Pirellulaceae
OTU_10022,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Defluviicoccales,Unclassified_Defluviicoccales
OTU_10023,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Spongiibacteraceae
OTU_10025,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum,Unclassified_Proteobacteria superphylum,Unclassified_Proteobacteria superphylum,Unclassified_Proteobacteria superphylum,Unclassified_Proteobacteria superphylum
OTU_10026,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Acidimicrobiia, Microtrichales,Unclassified_Microtrichales
OTU_10028,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Armatimonadota, Armatimonadia, Armatimonadales,Unclassified_Armatimonadales
OTU_10029,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Pla3 lineage,Unclassified_Pla3 lineage,Unclassified_Pla3 lineage
OTU_10030,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Bdellovibrionota, Bdellovibrionia, Bdellovibrionales,Unclassified_Bdellovibrionales
OTU_10031,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Myxococcota, Myxococcia, Myxococcales, Myxococcaceae
OTU_10032,root, Main genome, Bacteria, Bacteria (superkingdom), Dependentiae superphylum, Dependentiae, Babeliae, Babeliales,Unclassified_Babeliales
OTU_10033,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Dehalococcoidia, GIF3,Unclassified_GIF3
OTU_10034,root, Main genome, Archaea, Archaea (superkingdom), TACK, Bathyarchaeota,Unclassified_Bathyarchaeota,Unclassified_Bathyarchaeota,Unclassified_Bathyarchaeota
OTU_10035,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Coxiellales, Coxiellaceae
OTU_10037,root, Main genome, Bacteria, Bacteria (superkingdom), Nitrospirae superphylum, Nitrospinota, Nitrospinia, Nitrospinales, Nitrospinaceae
OTU_10038,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Anaerolineae, Anaerolineales, Anaerolineaceae
OTU_1004,root, Main genome, Archaea, Archaea (superkingdom), DPANN, Nanoarchaeota, Nanoarchaeia, Woesearchaeales,Unclassified_Woesearchaeales
OTU_10040,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Gemmatimonadota, PAUC43f marine benthic group,Unclassified_PAUC43f marine benthic group,Unclassified_PAUC43f marine benthic group
OTU_10042,root, Main genome, Bacteria, Bacteria (superkingdom), Nitrospirae superphylum, Nitrospirota, Thermodesulfovibrionia, Thermodesulfovibrionales, Thermodesulfovibrionaceae
OTU_10043,root, Main genome, Bacteria, Bacteria (superkingdom), Acidobacteria superphylum, Acidobacteriota, Acidobacteria group 22,Unclassified_Acidobacteria group 22,Unclassified_Acidobacteria group 22
OTU_10044,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Omnitrophia, Omnitrophales, Omnitrophaceae
OTU_10046,root, Main genome, Archaea, Archaea (superkingdom), Euryarchaea sensu lato superphylum, Thermoplasmatota, Thermoplasmata, Marine Benthic Group D and DHVEG-1,Unclassified_Marine Benthic Group D and DHVEG-1
OTU_10048,root, Main genome, Bacteria, Bacteria (superkingdom), Sumerlaeota superphylum, Sumerlaeota, Sumerlaeia,Unclassified_Sumerlaeia,Unclassified_Sumerlaeia
OTU_1005,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Omnitrophia,Unclassified_Omnitrophia,Unclassified_Omnitrophia
OTU_10051,root, Main genome, Bacteria, Bacteria (superkingdom), Acidobacteria superphylum, Acidobacteriota, ODP1230B23.02,Unclassified_ODP1230B23.02,Unclassified_ODP1230B23.02
OTU_10053,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Ignavibacteria, Ignavibacteriales,Unclassified_Ignavibacteriales
OTU_10054,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Phycisphaerae, Phycisphaerales, AKAU3564 sediment group
OTU_10055,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Latescibacterota,Unclassified_Latescibacterota,Unclassified_Latescibacterota,Unclassified_Latescibacterota
OTU_10056,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, RBG-16-55-12,Unclassified_RBG-16-55-12,Unclassified_RBG-16-55-12
OTU_10057,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Sva0485,Unclassified_Sva0485,Unclassified_Sva0485,Unclassified_Sva0485
OTU_10058,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Oscillospirales, Hungateiclostridiaceae
OTU_1006,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, vadinHA49,Unclassified_vadinHA49,Unclassified_vadinHA49
OTU_10063,root, Main genome, Bacteria, Bacteria (superkingdom), Acidobacteria superphylum, Acidobacteriota, Aminicenantia, Aminicenantales,Unclassified_Aminicenantales
OTU_10066,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Rhodospirillales,Unclassified_Rhodospirillales
OTU_10068,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Dehalococcoidia, GIF9,Unclassified_GIF9
OTU_10071,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Bacteroidia, Flavobacteriales, Flavobacteriaceae
OTU_10072,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Acidimicrobiia, Actinomarinales, Actinomarinaceae
OTU_10074,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Phycisphaerae,Unclassified_Phycisphaerae,Unclassified_Phycisphaerae
OTU_10076,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Calditrichota, Calditrichia, Calditrichales, Calditrichaceae
OTU_1008,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylohalobiaceae
OTU_10081,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Chloroflexia, Thermomicrobiales, JG30-KF-CM45
OTU_10082,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylomonadaceae
OTU_10083,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Actinobacteria, Micrococcales, Intrasporangiaceae
OTU_10084,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, F9P41300-M23,Unclassified_F9P41300-M23
OTU_10087,root, Main genome, Bacteria, Bacteria (superkingdom), Elusimicrobiota superphylum, Elusimicrobiota, Lineage IIb,Unclassified_Lineage IIb,Unclassified_Lineage IIb
OTU_10088,root, Main genome, Archaea, Archaea (superkingdom),Unclassified_Archaea (superkingdom),Unclassified_Archaea (superkingdom),Unclassified_Archaea (superkingdom),Unclassified_Archaea (superkingdom),Unclassified_Archaea (superkingdom)
OTU_10089,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Verrucomicrobiae, Opitutales, Puniceicoccaceae
OTU_10091,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, OM190,Unclassified_OM190,Unclassified_OM190
OTU_10092,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Bacteroidia, Sphingobacteriales, AKYH767
OTU_10093,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae
OTU_10094,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Bacteroidia, Flavobacteriales,Unclassified_Flavobacteriales
OTU_10097,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, D8A-2,Unclassified_D8A-2,Unclassified_D8A-2
OTU_101,root, Main genome, Bacteria, Bacteria (superkingdom), Acidobacteria superphylum, Acidobacteriota, Vicinamibacteria, Vicinamibacterales (Acidobacteria group 6), Vicinamibacteraceae
OTU_1010,root, Main genome, Archaea, Archaea (superkingdom), TACK, Thaumarchaeota, Nitrososphaeria, Nitrosopumilales, Nitrosopumilaceae
OTU_10100,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Dehalococcoidia,Unclassified_Dehalococcoidia,Unclassified_Dehalococcoidia
OTU_10102,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Gracilibacteria phylum incertae sedis, Gracilibacteria, Candidatus Peregrinibacteria,Unclassified_Candidatus Peregrinibacteria
OTU_10103,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Pseudomonadales, KI89A clade
OTU_10104,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Rhodothermia, Rhodothermales, Rhodothermaceae
OTU_10106,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota,Unclassified_Planctomycetota,Unclassified_Planctomycetota,Unclassified_Planctomycetota
OTU_10108,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Pseudomonadales,Unclassified_Pseudomonadales
OTU_10114,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Omnitrophia, Omnitrophales,Unclassified_Omnitrophales
OTU_10117,root, Main genome, Archaea, Archaea (superkingdom), Asgard, Odinarchaeota,Unclassified_Odinarchaeota,Unclassified_Odinarchaeota,Unclassified_Odinarchaeota
OTU_10118,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Anaerolineae, SBR1031,Unclassified_SBR1031
OTU_10119,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Campylobacterota, Campylobacteria, Campylobacterales,Unclassified_Campylobacterales
OTU_1012,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Dehalococcoidia, H3.93,Unclassified_H3.93
OTU_10121,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Bacteroidia, Cytophagales, Cyclobacteriaceae
OTU_10122,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Bacteroidia, Flavobacteriales, Cryomorphaceae
OTU_10123,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Lentisphaeria, Victivallales,Unclassified_Victivallales
OTU_10124,root, Main genome, Bacteria, Bacteria (superkingdom), Hydrogenedentes superphylum, Hydrogenedentes, Hydrogenedentia, Hydrogenedentiales, Hydrogenedensaceae
OTU_10126,root, Main genome, Bacteria, Bacteria (superkingdom),Unclassified_Bacteria (superkingdom),Unclassified_Bacteria (superkingdom),Unclassified_Bacteria (superkingdom),Unclassified_Bacteria (superkingdom),Unclassified_Bacteria (superkingdom)
OTU_10127,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Parcubacteria, Paceibacterales class incertae sedis,Unclassified_Paceibacterales class incertae sedis,Unclassified_Paceibacterales class incertae sedis
OTU_1013,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Campylobacterota, Campylobacteria, Campylobacterales, Sulfurovaceae
OTU_10138,root, Main genome, Archaea, Archaea (superkingdom), DPANN, Iainarchaeota, Iainarchaeia,Unclassified_Iainarchaeia,Unclassified_Iainarchaeia
OTU_1014,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae
OTU_10140,root, Main genome, Archaea, Archaea (superkingdom), DPANN, Nanoarchaeota,Unclassified_Nanoarchaeota,Unclassified_Nanoarchaeota,Unclassified_Nanoarchaeota
OTU_10141,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Dehalococcoidia, S085,Unclassified_S085
OTU_10142,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Thermoleophilia,Unclassified_Thermoleophilia,Unclassified_Thermoleophilia
OTU_10146,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Dehalococcoidia, Sh765B-AG-111,Unclassified_Sh765B-AG-111
OTU_10147,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, WCHB1-81,Unclassified_WCHB1-81,Unclassified_WCHB1-81
OTU_10152,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Coriobacteriia, CG2-30-50-142,Unclassified_CG2-30-50-142
OTU_10155,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Gracilibacteria phylum incertae sedis, Gracilibacteria,Unclassified_Gracilibacteria,Unclassified_Gracilibacteria
OTU_10158,root, Main genome, Bacteria, Bacteria (superkingdom), Nitrospirae superphylum, Nitrospinota, P9X2b3D02,Unclassified_P9X2b3D02,Unclassified_P9X2b3D02
OTU_1016,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, JG30-KF-CM66,Unclassified_JG30-KF-CM66,Unclassified_JG30-KF-CM66
OTU_10160,root, Main genome, Archaea, Archaea (superkingdom), TACK, Thaumarchaeota, Marine Benthic Group A,Unclassified_Marine Benthic Group A,Unclassified_Marine Benthic Group A
OTU_10161,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Thermoleophilia, Gaiellales,Unclassified_Gaiellales
OTU_10162,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Bacteroidia, Chitinophagales, Saprospiraceae
OTU_10164,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Caminicellaceae
OTU_10165,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Marinimicrobia (SAR406 clade),Unclassified_Marinimicrobia (SAR406 clade),Unclassified_Marinimicrobia (SAR406 clade),Unclassified_Marinimicrobia (SAR406 clade)
OTU_10169,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Gracilibacteria phylum incertae sedis, Gracilibacteria, JGI 0000069-P22,Unclassified_JGI 0000069-P22
OTU_1017,root, Main genome, Bacteria, Bacteria (superkingdom), Acidobacteria superphylum, Acidobacteriota, Thermoanaerobaculia, Thermoanaerobaculales, Thermoanaerobaculaceae
OTU_10170,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Phycisphaerae, MSBL9,Unclassified_MSBL9
OTU_10175,root, Main genome, Bacteria, Bacteria (superkingdom), Dadabacteria superphylum, Dadabacteria, Dadabacteriia, Dadabacteriales,Unclassified_Dadabacteriales
OTU_10176,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Planctomycetes,Unclassified_Planctomycetes,Unclassified_Planctomycetes
OTU_10178,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Latescibacterota, Latescibacteria, Latescibacterales,Unclassified_Latescibacterales
OTU_10179,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae
OTU_10180,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Parcubacteria, Candidatus Portnoybacteria,Unclassified_Candidatus Portnoybacteria,Unclassified_Candidatus Portnoybacteria
OTU_10181,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae
OTU_10183,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, DEV007
OTU_10184,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Puniceispirillales, SAR116 clade
OTU_10188,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae
OTU_10191,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Thermoleophilia, Solirubrobacterales, Solirubrobacteraceae
OTU_10194,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, MB-A2-108,Unclassified_MB-A2-108,Unclassified_MB-A2-108
OTU_102,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Bacilli, Alicyclobacillales, Alicyclobacillaceae
OTU_10202,root, Main genome, Bacteria, Bacteria (superkingdom), Schekmanbacteria superphylum, Schekmanbacteria,Unclassified_Schekmanbacteria,Unclassified_Schekmanbacteria,Unclassified_Schekmanbacteria
OTU_10211,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Anaerolineae, Caldilineales, Caldilineaceae
OTU_10221,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Zixibacteria,Unclassified_Zixibacteria,Unclassified_Zixibacteria,Unclassified_Zixibacteria
OTU_10224,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Nocardiaceae
OTU_10228,root, Main genome, Bacteria, Bacteria (superkingdom), Spirochaetes superphylum, Spirochaetota, Spirochaetia, Spirochaetales, Spirochaetaceae
OTU_1023,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes,Unclassified_Firmicutes,Unclassified_Firmicutes,Unclassified_Firmicutes
OTU_10230,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, UBA10353 marine group,Unclassified_UBA10353 marine group
OTU_10234,root, Main genome, Bacteria, Bacteria (superkingdom), WOR-1,Unclassified_WOR-1,Unclassified_WOR-1,Unclassified_WOR-1,Unclassified_WOR-1
OTU_10235,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, WS1,Unclassified_WS1,Unclassified_WS1,Unclassified_WS1
OTU_10236,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, NKB15,Unclassified_NKB15,Unclassified_NKB15,Unclassified_NKB15
OTU_10237,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, 10bav-F6,Unclassified_10bav-F6,Unclassified_10bav-F6,Unclassified_10bav-F6
OTU_10238,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Planctomycetes, Pirellulales,Unclassified_Pirellulales
OTU_10240,root, Main genome, Archaea, Archaea (superkingdom), Euryarchaea sensu lato superphylum, Thermoplasmatota, Thermoplasmata,Unclassified_Thermoplasmata,Unclassified_Thermoplasmata
OTU_10244,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Bacilli, Paenibacillales,Unclassified_Paenibacillales
OTU_10246,root, Main genome, Bacteria, Bacteria (superkingdom), Caldatribacteriota superphylum, Caldatribacteriota, JS1,Unclassified_JS1,Unclassified_JS1
OTU_10247,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Gracilibacteria phylum incertae sedis, Gracilibacteria, Absconditabacteriales (SR1),Unclassified_Absconditabacteriales (SR1)
OTU_10249,root, Main genome, Bacteria, Bacteria (superkingdom), Aquificota superphylum, Aquificota, Aquificae, Aquificales, Aquificaceae
OTU_1025,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Thermoleophilia, Solirubrobacterales,Unclassified_Solirubrobacterales
OTU_10250,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Bacteroidia, Cytophagales, Flammeovirgaceae
OTU_10257,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Puniceispirillales,Unclassified_Puniceispirillales
OTU_10259,root, Main genome, Bacteria, Bacteria (superkingdom), Elusimicrobiota superphylum, Elusimicrobiota, Elusimicrobia,Unclassified_Elusimicrobia,Unclassified_Elusimicrobia
OTU_10260,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Kiloniellales, Kiloniellaceae
OTU_10274,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Bdellovibrionota, Bdellovibrionia, Bacteriovoracales, Bacteriovoracaceae
OTU_10275,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Pla4 lineage,Unclassified_Pla4 lineage,Unclassified_Pla4 lineage
OTU_10277,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Bdellovibrionota, Bdellovibrionia, Bdellovibrionales, Bdellovibrionaceae
OTU_10278,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae
OTU_1028,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Family XI
OTU_10280,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Parcubacteria,Unclassified_Parcubacteria,Unclassified_Parcubacteria,Unclassified_Parcubacteria
OTU_10284,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Calditrichota, Calditrichia, Calditrichales,Unclassified_Calditrichales
OTU_10289,root, Main genome, Bacteria, Bacteria (superkingdom), Elusimicrobiota superphylum, Elusimicrobiota, Elusimicrobia, Elusimicrobiales, Elusimicrobiaceae
OTU_1029,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Dehalococcoidia, SPG12-343-353-B75,Unclassified_SPG12-343-353-B75
OTU_10294,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Actinobacteria, Kineosporiales, Kineosporiaceae
OTU_10296,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Parcubacteria, Candidatus Yanofskybacteria,Unclassified_Candidatus Yanofskybacteria,Unclassified_Candidatus Yanofskybacteria
OTU_10297,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Burkholderiales, Methylophilaceae
OTU_10299,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Gemmatimonadota, BD2-11 terrestrial group,Unclassified_BD2-11 terrestrial group,Unclassified_BD2-11 terrestrial group
OTU_103,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Gemmatimonadota, Gemmatimonadetes, Gemmatimonadales,Unclassified_Gemmatimonadales
OTU_10300,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Kiritimatiellae, WCHB1-41,Unclassified_WCHB1-41
