Name,SeqName,Depth,Core,qPCR_bac,qPCR_arch,qPCR_proka,qPCR_NA,OxygenDepth,Fe_abundant,Location
Blank_S2,Blank_S2,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB06_blnk_70,CB06_blnk_70,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_66,CB08_blnk_66,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_67,CB08_blnk_67,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_68,CB08_blnk_68,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB10_blnk_86,CB10_blnk_86,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB11_blnk_20,CB11_blnk_20,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB11_blnk_46,CB11_blnk_46,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_94,CB14_blnk_94,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_95,CB14_blnk_95,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_96,CB14_blnk_96,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_21,CB15_blnk_21,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_22,CB15_blnk_22,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_81,CB15_blnk_81,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_82,CB15_blnk_82,B,B,NA,NA,NA,TRUE,nan,nan,nan
GS13_CC02_1380,GS13_CC02_50,1380,2,15176785.5235043,364926.79954594,15541712.3230502,FALSE,82,No,AMOR
GS13_CC02_1480,GS13_CC02_51,1480,2,3734629.9184261,67976.4819007917,3802606.40032689,FALSE,82,No,AMOR
GS13_CC02_1530,GS13_CC02_52,1530,2,5560848.75682044,473537.723601811,6034386.48042225,FALSE,82,No,AMOR
GS13_CC02_1630,GS13_CC02_53,1630,2,9649350.80963665,153009.544239978,9802360.35387663,FALSE,82,No,AMOR
GS13_CC02_1680,GS13_CC02_54,1680,2,1109126.6025641,1590.1865510859,1110716.78911519,FALSE,82,No,AMOR
GS13_CC02_1780,GS13_CC02_55,1780,2,6626961.86531842,198240.254544966,6825202.11986339,FALSE,82,No,AMOR
GS13_CC02_1880,GS13_CC02_56,1880,2,4739756.32440476,304302.513485863,5044058.83789062,FALSE,82,No,AMOR
GS14_GC02_10,GS14_GC02_57,10,3,602528763.44086,12131785.234255,614660548.675115,FALSE,nan,No,AMOR
GS14_GC02_20,GS14_GC02_58,20,3,216836301.12835,4217207.33427363,221053508.462624,FALSE,nan,No,AMOR
GS14_GC02_30,GS14_GC02_59,30,3,296087442.12963,1002896.53260031,297090338.66223,FALSE,nan,No,AMOR
GS14_GC02_40,GS14_GC02_60,40,3,2008202684.56376,7049407.50838926,2015252092.07215,FALSE,nan,No,AMOR
GS14_GC02_50,GS14_GC02_61,50,3,43447912.1179039,241882.19983852,43689794.3177424,FALSE,nan,No,AMOR
GS14_GC02_65,GS14_GC02_62,65,3,108691425.695461,498845.78319455,109190271.478656,FALSE,nan,No,AMOR
GS14_GC02_75,GS14_GC02_63,75,3,101116357.655502,220457.54367275,101336815.199175,FALSE,nan,No,AMOR
GS14_GC02_100,GS14_GC02_64,100,3,44710931.4826701,111686.82994524,44822618.3126153,FALSE,nan,No,AMOR
GS14_GC02_130,GS14_GC02_65,130,3,115193156.584992,368047.37599301,115561203.960985,FALSE,nan,No,AMOR
GS14_GC02_160,GS14_GC02_66,160,3,124045237.619808,442159.34192792,124487396.961736,FALSE,nan,No,AMOR
GS14_GC02_175,GS14_GC02_67,175,3,76439228.7234043,86123.38822663,76525352.1116309,FALSE,nan,No,AMOR
GS14_GC02_190,GS14_GC02_68,190,3,59458177.8401585,75139.64714746,59533317.487306,FALSE,nan,No,AMOR
GS14_GC02_215,GS14_GC02_69,215,3,53597588.3152174,59208.11160175,53656796.4268191,FALSE,nan,No,AMOR
GS14_GC04_5,GS14_GC04_34,5,4,1449452300,15304078.125,1464756378.125,FALSE,4,No,AMOR
GS14_GC04_9,GS14_GC04_35,9,4,365022100,3084042.578125,368106142.578125,FALSE,4,No,AMOR
GS14_GC04_20,GS14_GC04_36,20,4,100745350,315742.041015625,101061092.041016,FALSE,4,No,AMOR
GS14_GC04_27,GS14_GC04_37,27,4,4175342.96875,6121.79870605469,4181464.76745605,FALSE,4,No,AMOR
GS14_GC04_30,GS14_GC04_38,30,4,78549381.25,502026.025390625,79051407.2753906,FALSE,4,No,AMOR
GS14_GC04_40,GS14_GC04_39,40,4,65223425,260378.564453125,65483803.5644531,FALSE,4,No,AMOR
GS14_GC04_50,GS14_GC04_40,50,4,447993.99414,821263.319522745,1269257.31366337,FALSE,4,No,AMOR
GS14_GC04_75,GS14_GC04_41,75,4,9664071.09375,37555.8532714844,9701626.94702148,FALSE,4,No,AMOR
GS14_GC04_100,GS14_GC04_42,100,4,10157712.5,22054.997253418,10179767.4972534,FALSE,4,No,AMOR
GS14_GC04_115,GS14_GC04_43,115,4,12627339.0625,10421.0830688477,12637760.1455688,FALSE,4,No,AMOR
