 Abiotrophia
 Achromobacter
 Acidovorax
 Acinetobacter
 Actinomyces
 Afipia
 Anaerococcus
 Arthrobacter
 Atopobium
 Bacillus
 Bradyrhizobium
 Brevibacillus
 Brevundimonas
 Burkholderia
 Capnocytophaga
 Chryseobacterium
 Chryseobacterium
 Clostridium
 Comamonas
 Coprococcus
 Corynebacterium
 Cupriavidus
 Curvibacter
 Devosia
 Dialister
 Duganella
 Enhydrobacter
 Enterococcus
 Escherichia
 Fusobacterium
 Geobacillus
 Granulicatella
 Haemophilus
 Herbaspirillum
 Janthinobacterium
 Kingella
 Lactobacillus
 Leptothrix
 Leptotrichia
 Massilia
 Megasphaera
 Mesorhizobium
 Methylobacterium
 Methylobacterium
 Neisseria
 Novosphingobium
 Oxalobacter
 Paenibacillus
 Pedobacter
 Pelomonas
 Phyllobacterium
 Phyllobacterium
 Prevotella
 Propionibacterium
 Pseudomonas
 Ralstonia
 Rhizobium
 Roseomonas
 Rothia
 Sediminibacterium
 Sphingobium
 Sphingomonas
 Staphylococcus
 Stenotrophomonas
 Streptococcus
 Unclassified_TM7
 Veillonella
 Xanthomonas
 Flavobacterium
 Porphyromonas
