"","ROOT","MAIN.GENOME","DOMAIN","KINGDOM","SUPER.PHYLUM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"OTU_1","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Aerophobota superphylum"," Aerophobota"," Aerophobia"," Aerophobales","Unclassified_Aerophobales","Unclassified_Aerophobales","Unclassified_Aerophobales"
"OTU_10","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade"
"OTU_100","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," RBG-16-55-12","Unclassified_RBG-16-55-12","Unclassified_RBG-16-55-12","Unclassified_RBG-16-55-12","Unclassified_RBG-16-55-12"
"OTU_1000","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria"
"OTU_1001","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Planctomycetes"," Pirellulales"," Pirellulaceae"," Pir4 lineage","Unclassified_Pir4 lineage"
"OTU_1002","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria"," Micrococcales"," Microbacteriaceae","Unclassified_Microbacteriaceae","Unclassified_Microbacteriaceae"
"OTU_1003","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Myxococcota"," Polyangia"," Nannocystales"," Nannocystaceae"," Nannocystis","Unclassified_Nannocystis"
"OTU_1004","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales"," Burkholderiaceae"," Lautropia","Unclassified_Lautropia"
"OTU_1005","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," MSBL9"," SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
"OTU_1007","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales"," Rhodocyclaceae"," Candidatus Accumulibacter","Unclassified_Candidatus Accumulibacter"
"OTU_1009","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," Anaerolineales"," Anaerolineaceae","Unclassified_Anaerolineaceae","Unclassified_Anaerolineaceae"
"OTU_1010","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," C86","Unclassified_C86","Unclassified_C86","Unclassified_C86"
"OTU_1011","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia"
"OTU_1012","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Nitrospirae superphylum"," Nitrospirota"," Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"OTU_1013","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," Anaerolineales"," Anaerolineaceae","Unclassified_Anaerolineaceae","Unclassified_Anaerolineaceae"
"OTU_1014","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales"," Xanthobacteraceae","Unclassified_Xanthobacteraceae","Unclassified_Xanthobacteraceae"
"OTU_1015","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," Napoli-4B-65","Unclassified_Napoli-4B-65","Unclassified_Napoli-4B-65","Unclassified_Napoli-4B-65"
"OTU_1016","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Chroococcidiopsaceae"," Aliterella","Unclassified_Aliterella"
"OTU_1017","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," OM190","Unclassified_OM190","Unclassified_OM190","Unclassified_OM190","Unclassified_OM190"
"OTU_1018","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Dependentiae superphylum"," Dependentiae"," Babeliae"," Babeliales","Unclassified_Babeliales","Unclassified_Babeliales","Unclassified_Babeliales"
"OTU_1019","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," 3051bac4-16","Unclassified_3051bac4-16","Unclassified_3051bac4-16","Unclassified_3051bac4-16"
"OTU_102","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Bacteroidales"," Bacteroidetes BD2-2","Unclassified_Bacteroidetes BD2-2","Unclassified_Bacteroidetes BD2-2"
"OTU_1020","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria"," Propionibacteriales"," Nocardioidaceae"," Nocardioides","Unclassified_Nocardioides"
"OTU_1021","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria"
"OTU_1022","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Planctomycetes"," Planctomycetales","Unclassified_Planctomycetales","Unclassified_Planctomycetales","Unclassified_Planctomycetales"
"OTU_1023","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j"
"OTU_1024","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Campylobacterota"," Campylobacteria"," Campylobacterales"," Sulfurovaceae"," Sulfurovum","Unclassified_Sulfurovum"
"OTU_1025","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Acidimicrobiia"," Actinomarinales","Unclassified_Actinomarinales","Unclassified_Actinomarinales","Unclassified_Actinomarinales"
"OTU_1026","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," Caldilineales"," Caldilineaceae","Unclassified_Caldilineaceae","Unclassified_Caldilineaceae"
"OTU_1027","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," RBG-16-55-12","Unclassified_RBG-16-55-12","Unclassified_RBG-16-55-12","Unclassified_RBG-16-55-12","Unclassified_RBG-16-55-12"
"OTU_1028","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Armatimonadota"," DG-56","Unclassified_DG-56","Unclassified_DG-56","Unclassified_DG-56","Unclassified_DG-56"
"OTU_1029","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Brocadiae","Unclassified_Brocadiae","Unclassified_Brocadiae","Unclassified_Brocadiae","Unclassified_Brocadiae"
"OTU_103","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," Phycisphaerales"," Phycisphaeraceae"," Urania-1B-19 marine sediment group","Unclassified_Urania-1B-19 marine sediment group"
"OTU_1030","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," MSBL9"," SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
"OTU_1031","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Nitrospirae superphylum"," Nitrospirota"," BMS9AB35","Unclassified_BMS9AB35","Unclassified_BMS9AB35","Unclassified_BMS9AB35","Unclassified_BMS9AB35"
"OTU_1032","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Bdellovibrionota"," Oligoflexia"," Oligoflexales"," Oligoflexaceae"," Oligoflexus","Unclassified_Oligoflexus"
"OTU_1033","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Coxiellales"," Coxiellaceae","Unclassified_Coxiellaceae","Unclassified_Coxiellaceae"
"OTU_1034","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Firmicutes"," Clostridia"," Peptostreptococcales-Tissierellales"," Family XI"," Ezakiella","Unclassified_Ezakiella"
"OTU_1035","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Salinisphaerales"," Salinisphaeraceae"," Salinisphaera","Unclassified_Salinisphaera"
"OTU_1036","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Verrucomicrobiae"," Verrucomicrobiales"," Verrucomicrobiaceae","Unclassified_Verrucomicrobiaceae","Unclassified_Verrucomicrobiaceae"
"OTU_1037","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia"," Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales"
"OTU_1038","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Verrucomicrobiae"," Verrucomicrobiales"," Verrucomicrobiaceae","Unclassified_Verrucomicrobiaceae","Unclassified_Verrucomicrobiaceae"
"OTU_1039","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia"
"OTU_104","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Steroidobacterales"," Steroidobacteraceae","Unclassified_Steroidobacteraceae","Unclassified_Steroidobacteraceae"
"OTU_1040","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Planctomycetes"," Gemmatales"," Gemmataceae","Unclassified_Gemmataceae","Unclassified_Gemmataceae"
"OTU_1041","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia"
"OTU_1042","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Elusimicrobiota superphylum"," Elusimicrobiota"," 4-29","Unclassified_4-29","Unclassified_4-29","Unclassified_4-29","Unclassified_4-29"
"OTU_1043","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," GIF9"," AB-539-J10","Unclassified_AB-539-J10","Unclassified_AB-539-J10"
"OTU_1044","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota"
"OTU_1045","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," MB-C2-126","Unclassified_MB-C2-126","Unclassified_MB-C2-126","Unclassified_MB-C2-126"
"OTU_1046","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Gemmatimonadota"," Gemmatimonadetes"," Gemmatimonadales"," Gemmatimonadaceae"," Gemmatimonas","Unclassified_Gemmatimonas"
"OTU_1047","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Chitinophagales"," Chitinophagaceae"," Ferruginibacter","Unclassified_Ferruginibacter"
"OTU_1048","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Chitinophagales"," Chitinophagaceae","Unclassified_Chitinophagaceae","Unclassified_Chitinophagaceae"
"OTU_1049","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Brocadiae"," SM23-32","Unclassified_SM23-32","Unclassified_SM23-32","Unclassified_SM23-32"
"OTU_105","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," H3.93","Unclassified_H3.93","Unclassified_H3.93","Unclassified_H3.93"
"OTU_1050","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade"
"OTU_1051","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Planctomycetes"," Pirellulales"," Pirellulaceae"," Blastopirellula","Unclassified_Blastopirellula"
"OTU_1053","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia"," Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales"
"OTU_1054","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Parcubacteria"," Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria"
"OTU_1055","root"," Main genome"," Archaea"," Archaea (superkingdom)"," TACK"," Bathyarchaeota","Unclassified_Bathyarchaeota","Unclassified_Bathyarchaeota","Unclassified_Bathyarchaeota","Unclassified_Bathyarchaeota","Unclassified_Bathyarchaeota"
"OTU_1056","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Ignavibacteria"," Ignavibacteriales"," PHOS-HE36","Unclassified_PHOS-HE36","Unclassified_PHOS-HE36"
"OTU_1057","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Planctomycetes"," Planctomycetales"," Rubinisphaeraceae","Unclassified_Rubinisphaeraceae","Unclassified_Rubinisphaeraceae"
"OTU_1058","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Acidobacteria superphylum"," Acidobacteriota"," Acidobacteriae"," Paludibaculum order incertae sedis"," Paludibaculum family incertae sedis"," Paludibaculum","Unclassified_Paludibaculum"
"OTU_1059","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Chlamydiae"," LD1-PA32","Unclassified_LD1-PA32","Unclassified_LD1-PA32","Unclassified_LD1-PA32"
"OTU_106","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," Sh765B-AG-111","Unclassified_Sh765B-AG-111","Unclassified_Sh765B-AG-111","Unclassified_Sh765B-AG-111"
"OTU_1060","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia"," Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales"
"OTU_1061","root"," Main genome"," Archaea"," Archaea (superkingdom)"," Euryarchaea sensu lato superphylum"," Hadarchaeota"," Hadarchaeia"," Hadarchaeales","Unclassified_Hadarchaeales","Unclassified_Hadarchaeales","Unclassified_Hadarchaeales"
"OTU_1062","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales","Unclassified_Rhizobiales","Unclassified_Rhizobiales","Unclassified_Rhizobiales"
"OTU_1063","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade"
"OTU_1064","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Parcubacteria"," GWA2-38-13b","Unclassified_GWA2-38-13b","Unclassified_GWA2-38-13b","Unclassified_GWA2-38-13b","Unclassified_GWA2-38-13b"
"OTU_1065","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Desulfobacterota","Unclassified_Desulfobacterota","Unclassified_Desulfobacterota","Unclassified_Desulfobacterota","Unclassified_Desulfobacterota","Unclassified_Desulfobacterota"
"OTU_1066","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales"," Comamonadaceae","Unclassified_Comamonadaceae","Unclassified_Comamonadaceae"
"OTU_1067","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria"
"OTU_1068","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Omnitrophia"," Omnitrophales","Unclassified_Omnitrophales","Unclassified_Omnitrophales","Unclassified_Omnitrophales"
"OTU_1069","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Gemmatimonadota"," Gemmatimonadetes"," Gemmatimonadales"," Gemmatimonadaceae","Unclassified_Gemmatimonadaceae","Unclassified_Gemmatimonadaceae"
"OTU_107","root"," Main genome"," Archaea"," Archaea (superkingdom)"," TACK"," Thaumarchaeota"," Nitrososphaeria"," Nitrosopumilales"," Nitrosopumilaceae","Unclassified_Nitrosopumilaceae","Unclassified_Nitrosopumilaceae"
"OTU_1070","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Defluviicoccales","Unclassified_Defluviicoccales","Unclassified_Defluviicoccales","Unclassified_Defluviicoccales"
"OTU_1071","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," Tepidisphaerales"," WD2101 soil group","Unclassified_WD2101 soil group","Unclassified_WD2101 soil group"
"OTU_1072","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Omnitrophia"," Omnitrophales"," Omnitrophaceae"," Candidatus Omnitrophus","Unclassified_Candidatus Omnitrophus"
"OTU_1073","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," ODP123","Unclassified_ODP123","Unclassified_ODP123","Unclassified_ODP123","Unclassified_ODP123"
"OTU_1074","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Chlamydiae"," LD1-PA32","Unclassified_LD1-PA32","Unclassified_LD1-PA32","Unclassified_LD1-PA32"
"OTU_1075","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," GIF3","Unclassified_GIF3","Unclassified_GIF3","Unclassified_GIF3"
"OTU_1076","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Planctomycetes"," Pirellulales"," Pirellulaceae","Unclassified_Pirellulaceae","Unclassified_Pirellulaceae"
"OTU_1077","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia"
"OTU_1078","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria","Unclassified_Terrabacteria","Unclassified_Terrabacteria","Unclassified_Terrabacteria","Unclassified_Terrabacteria","Unclassified_Terrabacteria","Unclassified_Terrabacteria"
"OTU_1079","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," CCM11a","Unclassified_CCM11a","Unclassified_CCM11a","Unclassified_CCM11a"
"OTU_108","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)"
"OTU_1080","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," Anaerolineales"," Anaerolineaceae","Unclassified_Anaerolineaceae","Unclassified_Anaerolineaceae"
"OTU_1081","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria"
"OTU_1082","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," OM190","Unclassified_OM190","Unclassified_OM190","Unclassified_OM190","Unclassified_OM190"
"OTU_1083","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Firmicutes"," Bacilli"," Lactobacillales"," Lactobacillaceae"," Weissella"," Weissella viridescens"
"OTU_1084","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Myxococcota"," Polyangia"," Polyangiales"," Sandaracinaceae","Unclassified_Sandaracinaceae","Unclassified_Sandaracinaceae"
"OTU_1085","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Acidobacteria superphylum"," Acidobacteriota"," Acidobacteria group 22","Unclassified_Acidobacteria group 22","Unclassified_Acidobacteria group 22","Unclassified_Acidobacteria group 22","Unclassified_Acidobacteria group 22"
"OTU_1086","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Dependentiae superphylum"," Dependentiae"," Babeliae"," Babeliales"," Vermiphilaceae","Unclassified_Vermiphilaceae","Unclassified_Vermiphilaceae"
"OTU_1087","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales"," Rhodocyclaceae"," Uliginosibacterium","Unclassified_Uliginosibacterium"
"OTU_1088","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Nitrospirae superphylum"," Nitrospirota"," Nitrospiria"," Nitrospirales"," Nitrospiraceae"," Nitrospira","Unclassified_Nitrospira"
"OTU_1089","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Brocadiae"," SM23-32","Unclassified_SM23-32","Unclassified_SM23-32","Unclassified_SM23-32"
"OTU_109","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," SBR1031","Unclassified_SBR1031","Unclassified_SBR1031","Unclassified_SBR1031"
"OTU_1090","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," MSBL9"," SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
"OTU_1091","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Myxococcota"," Polyangia","Unclassified_Polyangia","Unclassified_Polyangia","Unclassified_Polyangia","Unclassified_Polyangia"
"OTU_1092","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Pseudomonadales"," MBAE14","Unclassified_MBAE14","Unclassified_MBAE14"
"OTU_1093","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Parcubacteria"," Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria"
"OTU_1094","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," Anaerolineales"," Anaerolineaceae","Unclassified_Anaerolineaceae","Unclassified_Anaerolineaceae"
"OTU_1095","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade"
"OTU_1096","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," Anaerolineales"," Anaerolineaceae","Unclassified_Anaerolineaceae","Unclassified_Anaerolineaceae"
"OTU_1097","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Acidibacter order incertae sedis"," Acidibacter family incertae sedis"," Acidibacter","Unclassified_Acidibacter"
"OTU_1098","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia"," Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales"
"OTU_1099","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia"
"OTU_11","root"," Main genome"," Archaea"," Archaea (superkingdom)"," TACK"," Thaumarchaeota"," Nitrososphaeria"," Nitrosopumilales"," Nitrosopumilaceae","Unclassified_Nitrosopumilaceae","Unclassified_Nitrosopumilaceae"
"OTU_110","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Enterobacterales"," Enterobacteriaceae","Unclassified_Enterobacteriaceae","Unclassified_Enterobacteriaceae"
"OTU_1100","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota"
"OTU_1101","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Sphingobacteriales"," Lentimicrobiaceae","Unclassified_Lentimicrobiaceae","Unclassified_Lentimicrobiaceae"
"OTU_1102","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia"
"OTU_1103","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria"
