"","ROOT","MAIN.GENOME","DOMAIN","KINGDOM","SUPER.PHYLUM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"OTU_3591","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Bdellovibrionota"," Bdellovibrionia"," Bacteriovoracales"," Bacteriovoracaceae","Unclassified_Bacteriovoracaceae","Unclassified_Bacteriovoracaceae"
"OTU_3592","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Bdellovibrionota"," Bdellovibrionia"," Bacteriovoracales"," Bacteriovoracaceae"," Peredibacter","Unclassified_Peredibacter"
"OTU_3593","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," vadinHA49","Unclassified_vadinHA49","Unclassified_vadinHA49","Unclassified_vadinHA49","Unclassified_vadinHA49"
"OTU_3594","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," CPR2","Unclassified_CPR2","Unclassified_CPR2","Unclassified_CPR2","Unclassified_CPR2","Unclassified_CPR2"
"OTU_3595","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Firmicutes"," Clostridia"," Peptostreptococcales-Tissierellales"," Anaerovoracaceae"," [Eubacterium] brachy group","Unclassified_[Eubacterium] brachy group"
"OTU_3596","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," 10bav-F6","Unclassified_10bav-F6","Unclassified_10bav-F6","Unclassified_10bav-F6","Unclassified_10bav-F6","Unclassified_10bav-F6"
"OTU_3597","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Planctomycetes"," Pirellulales"," Pirellulaceae","Unclassified_Pirellulaceae","Unclassified_Pirellulaceae"
"OTU_3598","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," MSBL9"," SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
"OTU_3599","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Chitinophagales"," Chitinophagaceae"," Cnuella","Unclassified_Cnuella"
"OTU_36","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," MSBL9"," SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
