# Name,SeqName,Depth,Location,CruiseID,CoreID,Oxygen,Oxygen_interpolated,NO3,NO3_interpolated,NO2,NO2_interpolated,Ammonia,Ammonia_interpolated,Fe_interpolated,Mn_interpolated,Sulfate_interpolated
GS13_CC02_1380,GS13_CC02_50,1380,AMOR,GS13,CC02,nan,nan,0,0,nan,nan,0.1634,0.1634,0,0.134127273,27.47708333
GS13_CC02_1480,GS13_CC02_51,1480,AMOR,GS13,CC02,nan,nan,0,0,nan,nan,0.1783,0.1783,0,0.141090909,27.564375
GS13_CC02_1530,GS13_CC02_52,1530,AMOR,GS13,CC02,nan,nan,0,0,nan,nan,0.1919,0.1919,0,0.138472727,27.2303125
GS13_CC02_1630,GS13_CC02_53,1630,AMOR,GS13,CC02,nan,nan,0,0,nan,nan,0.2139,0.2139,0.00364544721998388,0.103836364,27.4884375
GS13_CC02_1680,GS13_CC02_54,1680,AMOR,GS13,CC02,nan,nan,0,0,nan,nan,0.2265,0.2265,0,0.1362,27.340625
GS13_CC02_1780,GS13_CC02_55,1780,AMOR,GS13,CC02,nan,nan,0,0,nan,nan,0.2435,0.2435,0.00994617244157937,0.125763636,26.9078125
GS13_CC02_1880,GS13_CC02_56,1880,AMOR,GS13,CC02,nan,nan,0,0,nan,nan,0.2659,0.2659,0.0106307816277196,0.094672727,25.46354167
GS14_GC02_10,GS14_GC02_57,10,AMOR,GS14,GC02,nan,0.107285714285714,nan,0.00902007407407407,nan,0.000745481481481481,nan,0,0.00446666103754963,0.00245734157498519,30.3019525219578
GS14_GC02_20,GS14_GC02_58,20,AMOR,GS14,GC02,nan,0.0537142857142857,nan,0.012069,nan,0,nan,0,0,0.00084225485127,30.2302748282324
GS14_GC02_30,GS14_GC02_59,30,AMOR,GS14,GC02,nan,0.0383333333333333,nan,0.011764,nan,0,nan,0,0,0.00045339034262,30.3144461794712
GS14_GC02_40,GS14_GC02_60,40,AMOR,GS14,GC02,nan,0.0325,nan,0.0111685714285714,nan,0,nan,0,0,0.0014470076293,30.3588984563219
GS14_GC02_50,GS14_GC02_61,50,AMOR,GS14,GC02,nan,0.0266666666666667,nan,0.00990666666666667,nan,0,nan,0,0,0.00772775153855,30.2011186584773
GS14_GC02_65,GS14_GC02_62,65,AMOR,GS14,GC02,nan,0.0179166666666667,nan,0.00892478260869565,nan,0,nan,0,0,0.0150965609303,30.0946729399198
GS14_GC02_75,GS14_GC02_63,75,AMOR,GS14,GC02,nan,0.0185,nan,0.00836826086956522,nan,0,nan,0,0,0.0190243722383,30.1376094198373
GS14_GC02_100,GS14_GC02_64,100,AMOR,GS14,GC02,nan,nan,0.00691,0.00691,0,0,0,0,0,0.0251918234899,30.2517197584843
GS14_GC02_130,GS14_GC02_65,130,AMOR,GS14,GC02,nan,nan,nan,0.00530842105263158,nan,0,nan,0,0,0.0289863075508105,30.026175526261
GS14_GC02_160,GS14_GC02_66,160,AMOR,GS14,GC02,nan,nan,nan,0.00411235294117647,nan,0,nan,0,0,0.0309640861998118,30.2655202018346
GS14_GC02_175,GS14_GC02_67,175,AMOR,GS14,GC02,nan,nan,nan,0.003685,nan,0,nan,0,0,0.03123167235335,30.0443472829482
GS14_GC02_190,GS14_GC02_68,190,AMOR,GS14,GC02,nan,nan,nan,0.00312285714285714,nan,0,nan,0,0,0.0318213566271571,29.7865485857054
GS14_GC02_215,GS14_GC02_69,215,AMOR,GS14,GC02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS14_GC04_5,GS14_GC04_34,5,AMOR,GS14,GC04,0.00115,0.00115,nan,0.0307566666666667,nan,0,nan,0,0,0.00112779632876667,30.1362030675272
GS14_GC04_9,GS14_GC04_35,9,AMOR,GS14,GC04,nan,0.00091,nan,0.02963,nan,0,nan,0,0,0.0033833889863,30.1320570476785
GS14_GC04_20,GS14_GC04_36,20,AMOR,GS14,GC04,nan,0.000196153846153846,nan,0.02602,nan,0,nan,0,0,0.01385323240735,30.1172600458047
GS14_GC04_27,GS14_GC04_37,27,AMOR,GS14,GC04,0,0,nan,0.023332,nan,0,nan,0,0,0.023774268616,30.1052508848636
GS14_GC04_30,GS14_GC04_38,30,AMOR,GS14,GC04,0,0,nan,0.02218,nan,0,nan,0,0,0.02802614127685,30.1001041016032
GS14_GC04_40,GS14_GC04_39,40,AMOR,GS14,GC04,0,0,nan,0.01902,nan,0,nan,0,0,0.04170662578895,30.0789272329794
GS14_GC04_50,GS14_GC04_40,50,AMOR,GS14,GC04,0,0,nan,0.01654,nan,0,nan,0,0,0.05489468594365,30.0537294399334
GS14_GC04_75,GS14_GC04_41,75,AMOR,GS14,GC04,0,0,nan,0.00986345454545454,nan,0.00209836363636364,nan,0,0,0.0894005056970727,30.0954154600344
GS14_GC04_100,GS14_GC04_42,100,AMOR,GS14,GC04,0,0,nan,0.00530946153846154,nan,0.00323361538461538,nan,0,0,0.129857855468877,29.6146156248499
GS14_GC04_115,GS14_GC04_43,115,AMOR,GS14,GC04,0,0,nan,0.00303377777777778,nan,0.00324177777777778,nan,0,0,0.1483137561123,29.8035326300692
GS14_GC04_130,GS14_GC04_44,130,AMOR,GS14,GC04,0,0,nan,0.00121315384615385,nan,0.00294838461538462,nan,0,0,0.159743221126646,30.0965574400615
GS14_GC04_160,GS14_GC04_45,160,AMOR,GS14,GC04,0,0,nan,0.0001162,nan,0.0015698,nan,0,0,0.182233131131587,30.3254188354501
GS14_GC04_190,GS14_GC04_46,190,AMOR,GS14,GC04,0,0,nan,0,nan,0,nan,0,0,0.193472764488862,30.4067995964061
GS14_GC04_220,GS14_GC04_47,220,AMOR,GS14,GC04,0,0,nan,0,nan,0,nan,0.00265363636363636,0,0.201484321662591,30.013203395605
GS14_GC04_230,GS14_GC04_48,230,AMOR,GS14,GC04,0,0,nan,0,nan,0,nan,0.00286692307692308,0,0.202645610928669,29.9940589215074
GS14_GC08_10,GS14_GC08_49,10,AMOR,GS14,GC08,0.11,0.11,nan,0.0313075,nan,0,nan,0,0,0,30.0583937122632
GS14_GC08_20,GS14_GC08_50,20,AMOR,GS14,GC08,0.083,0.083,nan,0.0301745454545455,nan,0,nan,0,0,3.75E-05,29.9368886869948
GS14_GC08_30,GS14_GC08_51,30,AMOR,GS14,GC08,0.064,0.064,nan,0.0287088888888889,nan,0,nan,0,0,0.000394335114122222,29.8228926365466
GS14_GC08_40,GS14_GC08_52,40,AMOR,GS14,GC08,nan,0.0505,nan,0.027385,nan,0,nan,0,0,0.0004108818269,29.8960019779305
GS14_GC08_50,GS14_GC08_53,50,AMOR,GS14,GC08,0.037,0.037,nan,0.0257227272727273,nan,0,nan,0,0,2.05E-05,30.0650123975546
GS14_GC08_75,GS14_GC08_54,75,AMOR,GS14,GC08,nan,0.01575,0.02206,0.02206,0,0,0,0,0,0,29.2508848636269
GS14_GC08_100,GS14_GC08_55,100,AMOR,GS14,GC08,0.002,0.002,nan,0.01643,nan,0,nan,0,0,4.84E-05,29.8457136164897
GS14_GC08_130,GS14_GC08_56,130,AMOR,GS14,GC08,nan,0.0007,nan,0.00908904761904762,nan,0,nan,0,0,0.0214423029383143,29.8463901529797
GS14_GC08_160,GS14_GC08_57,160,AMOR,GS14,GC08,nan,0.00075,nan,0.00209,nan,0,nan,0.0006,0,0.0521047034444,29.9117461308904
GS14_GC08_190,GS14_GC08_58,190,AMOR,GS14,GC08,nan,0.000876190476190476,nan,0,nan,0,nan,0.003428,0,0.07976809719438,29.9109598167812
GS14_GC08_220,GS14_GC08_59,220,AMOR,GS14,GC08,nan,0.000804761904761905,nan,0,nan,0,nan,0.00882515151515151,0,0.103560968108536,29.875224764825
GS14_GC08_250,GS14_GC08_60,250,AMOR,GS14,GC08,nan,0.000733333333333333,nan,0,nan,0,nan,0.0148209677419355,0,0.121701312047545,29.6939302049123
GS14_GC08_280,GS14_GC08_61,280,AMOR,GS14,GC08,nan,0.000661904761904762,nan,0,nan,0,nan,0.0211613793103448,0,0.137226061198976,29.5324974692541
GS14_GC08_292,GS14_GC08_62,292,AMOR,GS14,GC08,nan,0.000633333333333333,nan,0,nan,0,nan,0.023874,7.03E-05,0.14533305444196,29.4814178638351
GS14_GC08_340,GS14_GC08_63,340,AMOR,GS14,GC08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS14_GC09_10,GS14_GC09_64,10,AMOR,GS14,GC09,nan,0.191666666666667,nan,0.02608,nan,nan,nan,0,0,2.14E-05,29.9869284821986
GS14_GC09_20,GS14_GC09_65,20,AMOR,GS14,GC09,0.137,0.137,nan,0.02662,nan,nan,nan,0,0,1.33E-05,29.9326996148241
GS14_GC09_28,GS14_GC09_66,28,AMOR,GS14,GC09,nan,0.1098,nan,0.025756,nan,nan,nan,0,0,6.21E-06,29.848421038934
GS14_GC09_30,GS14_GC09_67,30,AMOR,GS14,GC09,nan,0.103,nan,0.02554,nan,nan,nan,0,0,4.43E-06,29.8273513949615
GS14_GC09_40,GS14_GC09_68,40,AMOR,GS14,GC09,nan,0.073,nan,0.024155,nan,nan,nan,0,0,4.19E-06,29.7498815844264
GS14_GC09_50,GS14_GC09_69,50,AMOR,GS14,GC09,0.047,0.047,nan,0.022465,nan,nan,nan,0,0,1.26E-05,29.7002901832188
GS14_GC09_75,GS14_GC09_70,75,AMOR,GS14,GC09,nan,0.01175,nan,0.0182008333333333,nan,nan,nan,0,0,1.03E-05,29.6630653584565
GS14_GC09_100,GS14_GC09_71,100,AMOR,GS14,GC09,0,0,0.01041,0.01041,nan,nan,0.00208,0.00208,0,0.0196066612117,29.8159587757651
GS14_GC09_130,GS14_GC09_72,130,AMOR,GS14,GC09,0,0,nan,0.00325333333333333,nan,nan,nan,0.00998,0,0.0582851135473333,29.7627038656395
GS14_GC09_160,GS14_GC09_73,160,AMOR,GS14,GC09,0,0,nan,0,nan,nan,nan,0.024508,0,0.10495625731056,30.0865937955444
GS14_GC09_190,GS14_GC09_74,190,AMOR,GS14,GC09,0,0,nan,0,nan,nan,nan,0.0371596,0,0.127485077238912,29.6584414740787
GS14_GC12_10,GS14_GC12_75,10,AMOR,GS14,GC12,nan,0.0801578947368421,0.02321,0.02321,0,0,0,0,0,0.0001829869635,29.8674266083698
GS14_GC12_20,GS14_GC12_76,20,AMOR,GS14,GC12,nan,0.0275263157894737,nan,0.01044125,nan,0,nan,0,0,0.0001013113936875,29.8392801374141
GS14_GC12_30,GS14_GC12_77,30,AMOR,GS14,GC12,nan,0.00953333333333334,nan,0.001668,nan,0,nan,0.001532,0.00834177501434944,0.01492407290552,29.9386237768061
GS14_GC12_40,GS14_GC12_78,40,AMOR,GS14,GC12,0.0002,0.0002,nan,0,nan,0,nan,0.00911,0.0276202274046575,0.0500970888323545,29.9800124921924
GS14_GC12_50,GS14_GC12_79,50,AMOR,GS14,GC12,nan,0.0004,nan,0,nan,0,nan,0.0183915384615385,0.0367711531260465,0.0841395356401308,29.7519126667628
GS14_GC12_75,GS14_GC12_80,75,AMOR,GS14,GC12,nan,0.000339130434782609,nan,0,nan,0,nan,0.0192975,0.0182769030294112,0.174096948973633,29.7979986466791
GS14_GC12_100,GS14_GC12_81,100,AMOR,GS14,GC12,0.0002,0.0002,nan,0,nan,0,nan,0.026156,0.0398114674353795,0.19434527411783,29.9147019571101
GS14_GC12_130,GS14_GC12_82,130,AMOR,GS14,GC12,nan,0.000138095238095238,nan,0,nan,0,nan,0.0300316129032258,0.0211766131413794,0.222513021142332,29.8738254988482
GS14_GC12_160,GS14_GC12_83,160,AMOR,GS14,GC12,0.0007,0.0007,nan,0,nan,0,nan,0.032795,0,0.237457084217543,29.8247511971684
GS14_GC12_175,GS14_GC12_84,175,AMOR,GS14,GC12,nan,0.000625,nan,0,nan,0,nan,0.0317075,0,0.215030227756364,29.6767811784301
GS14_GC12_190,GS14_GC12_85,190,AMOR,GS14,GC12,nan,0.0006,nan,0,nan,0,nan,0.030802,0,0.195994845494087,29.574789090152
GS14_GC12_220,GS14_GC12_86,220,AMOR,GS14,GC12,0.0008,0.0008,nan,0,nan,0,nan,0.02975625,0,0.177818407369925,29.6119638767437
GS14_GC12_250,GS14_GC12_87,250,AMOR,GS14,GC12,nan,0.00075,nan,0,nan,0,nan,0.0271357142857143,0,0.166060191754893,29.5531052021059
GS14_GC12_280,GS14_GC12_88,280,AMOR,GS14,GC12,0.0003,0.0003,nan,0,nan,0,nan,0.0237758064516129,5.08E-05,0.1240503071298,29.3535161491809
GS14_GC12_310,GS14_GC12_89,310,AMOR,GS14,GC12,0.0004,0.0004,nan,0,nan,0,nan,0.018822,0.00316811072895636,0.04895218707898,29.9487028940246
GS14_GC12_340,GS14_GC12_90,340,AMOR,GS14,GC12,nan,nan,nan,0,nan,0,nan,0.009338,0.00800182192068938,0.04427365537172,29.7556127420362
GS14_GC12_357,GS14_GC12_91,357,AMOR,GS14,GC12,nan,nan,nan,0,nan,0,nan,0.00531166666666667,0.000460539150711352,0.0225459755995167,29.5129776528559
GS14_GC14_1,GS14_GC14_04,1,AMOR,GS14,GC14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS14_GC14_7,GS14_GC14_05,7,AMOR,GS14,GC14,nan,nan,nan,0.00162,nan,0,nan,0.0366,0,0.00251912418007698,29.2353909015199
GS14_GC14_20,GS14_GC14_08,20,AMOR,GS14,GC14,nan,nan,nan,0,nan,0,nan,0.0570083333333333,0,0.00154540061317742,29.3218318412103
GS14_GC14_50,GS14_GC14_10,50,AMOR,GS14,GC14,0,0,0,0,0,0,0.0678,0.0678,0.00227670846274669,0.001407995228038,29.5007183010618
GS14_GC14_100,GS14_GC14_11,100,AMOR,GS14,GC14,nan,0,nan,0,nan,0,nan,0.0588883333333333,0,0.00178017175009013,29.3620053438823
GS14_GC14_200,GS14_GC14_13,200,AMOR,GS14,GC14,nan,0,nan,0,nan,0,nan,0.07087,0,0.00191952276497752,28.807698573808
GS14_GC14_30,GS14_GC14_19,30,AMOR,GS14,GC14,nan,nan,nan,0,nan,0,nan,0.062335,0,0.00150065116586825,29.3177930460129
GS14_GC14_60,GS14_GC14_20,60,AMOR,GS14,GC14,nan,0,nan,0,nan,0,nan,0.0650638461538462,0,0.00137280614632217,29.6905884142923
GS14_GC14_90,GS14_GC14_21,90,AMOR,GS14,GC14,0,0,0,0,0,0,0.06083,0.06083,0,0.00153281347404113,29.0892973141786
GS14_GC14_120,GS14_GC14_22,120,AMOR,GS14,GC14,nan,0,nan,0,nan,0,nan,0.059308,0,0.00189095181250125,29.3026743701853
GS14_GC14_150,GS14_GC14_23,150,AMOR,GS14,GC14,nan,0,nan,0,nan,0,nan,0.0593716666666667,0,0.00248534648495305,29.1509693594281
GS14_GC14_180,GS14_GC14_24,180,AMOR,GS14,GC14,nan,0,nan,0,nan,0,nan,0.061316,0,0.00231484737753171,29.1737045596502
GS14_GC14_199,GS14_GC14_25,199,AMOR,GS14,GC14,nan,0,nan,0,nan,0,nan,0.0695,0,0.00198110925081593,28.8308725015615
GS15_GC01_5,GS15_GC01_01,5,AMOR,GS15,GC01,nan,0.22,nan,0.0237490909090909,nan,0,nan,0,2.35E-05,0,30.0891866825658
GS15_GC01_10,GS15_GC01_02,10,AMOR,GS15,GC01,0.155,0.155,nan,0.0236945454545455,nan,0,nan,0,3.45E-05,0,30.0453220525051
GS15_GC01_20,GS15_GC01_03,20,AMOR,GS15,GC01,0.105,0.105,nan,0.022875,nan,0,nan,0,0.000121976990900865,0,29.9843014782427
GS15_GC01_30,GS15_GC01_04,30,AMOR,GS15,GC01,0.076,0.076,nan,0.02038,nan,0,nan,0,0.000115076990900865,0,29.9713272954403
GS15_GC01_40,GS15_GC01_05,40,AMOR,GS15,GC01,0.054,0.054,nan,0.01793,nan,0,nan,0,0.000523890385189745,0,29.9342275661045
GS15_GC01_50,GS15_GC01_06,50,AMOR,GS15,GC01,0.036,0.036,nan,0.016185,nan,0,nan,0,0.00105232664024465,0,29.9387310014574
GS15_GC01_75,GS15_GC01_07,75,AMOR,GS15,GC01,nan,0.0055,nan,0.0112133333333333,nan,0,nan,0,0.00027966835996884,0.000269336493166667,29.873323964189
GS15_GC01_83,GS15_GC01_08,83,AMOR,GS15,GC01,nan,0,nan,0.00928266666666667,nan,0,nan,0,0.000117373671993768,0.000700274882233333,29.9875825525713
GS15_GC01_88,GS15_GC01_09,88,AMOR,GS15,GC01,nan,0,nan,0.0079765,nan,0,nan,0.0002715,0.000126321056976183,0.004737446374865,30.0050333645638
GS15_GC01_90,GS15_GC01_10,90,AMOR,GS15,GC01,0,0,nan,0.0074275,nan,0,nan,0.0004525,0.000159335094960305,0.007357070971775,29.9976241411618
GS15_GC01_98,GS15_GC01_11,98,AMOR,GS15,GC01,nan,0,nan,0.0052315,nan,0,nan,0.0011765,0.000291391246896793,0.017835569359415,29.9679872475536
GS15_GC01_100,GS15_GC01_12,100,AMOR,GS15,GC01,0,0,nan,0.0046825,nan,0,nan,0.0013575,0.000324405284880915,0.020455193956325,29.9605780241516
GS15_GC01_108,GS15_GC01_13,108,AMOR,GS15,GC01,nan,0,nan,0.0028135,nan,0,nan,0.002302,0.000430360905241615,0.029829309113045,29.8942702998126
GS15_GC01_130,GS15_GC01_14,130,AMOR,GS15,GC01,0,0,nan,0,nan,0,nan,0.006325,0.000477764346536542,0.0506037628580667,29.6512795822055
GS15_GC01_160,GS15_GC01_15,160,AMOR,GS15,GC01,0,0,nan,0,nan,0,nan,0.01402,4.90E-05,0.07747207346355,29.7973552987716
GS15_GC01_190,GS15_GC01_16,190,AMOR,GS15,GC01,0,0,nan,0,nan,0,nan,0.0231633333333333,0.00016771268692062,0.09512710535665,29.7585578457908
GS15_GC01_220,GS15_GC01_17,220,AMOR,GS15,GC01,0,0,nan,0,nan,0,nan,0.03267125,0.000714679106333255,0.10878326717945,29.3674648657089
GS15_GC01_250,GS15_GC01_18,250,AMOR,GS15,GC01,nan,0,nan,0,nan,0,nan,0.04341875,0.000102097015190465,0.11695363727075,29.2543964709557
GS15_GC01_280,GS15_GC01_19,280,AMOR,GS15,GC01,nan,0,nan,0,nan,0,nan,0.0541766666666667,0,0.12456593456105,29.1338670275522
GS15_GC01_310,GS15_GC01_20,310,AMOR,GS15,GC01,nan,0,nan,0,nan,0,nan,0.06547,0,0.129057938683067,29.0827923520022
GS15_GC01_340,GS15_GC01_21,340,AMOR,GS15,GC01,nan,0,nan,0,nan,0,nan,0.07582,0,0.126815245537467,28.7330791519189
GS15_GC01_350,GS15_GC01_22,350,AMOR,GS15,GC01,0,0,nan,0,nan,0,nan,0.0788716666666667,0.0026582120028391,0.12479635238875,28.6534469775834
GS15_GC01_364,GS15_GC01_23,364,AMOR,GS15,GC01,nan,0,nan,0,nan,0,nan,0.0826843333333333,0.0101012056107886,0.12076245145125,28.6228736553543
GS15_GC01_365,GS15_GC01_24,365,AMOR,GS15,GC01,nan,0,nan,0,nan,0,nan,0.0829566666666667,0.0106328480113564,0.12047431567,28.6206898466236
GS15_GC01_368,GS15_GC01_25,368,AMOR,GS15,GC01,nan,0,nan,0,nan,0,nan,0.0837736666666667,0.0122277752130599,0.11960990832625,28.6141384204317
