Name,Core,CruiseID,CoreID,Depth,Oxygen,NO3,NOx,NH4,Mn,Fe
GS14_GC02_90,GS14_GC02,GS14,GC02,90,0.029,NA,NA,NA,NA,NA
GS14_GC02_100,GS14_GC02,GS14,GC02,100,NA,0.00691,0.00691,0,0.0251918234899,0
GS14_GC02_118,GS14_GC02,GS14,GC02,118,NA,0.00582,0.00582,0,0.0282887529486,0
GS14_GC02_130,GS14_GC02,GS14,GC02,130,NA,NA,NA,NA,NA,NA
GS14_GC02_137,GS14_GC02,GS14,GC02,137,NA,0.00501,0.00501,0,0.0293932144021,0
GS14_GC02_151,GS14_GC02,GS14,GC02,151,NA,0.00425,0.00425,0,0.0307936276252,0
GS14_GC02_160,GS14_GC02,GS14,GC02,160,NA,NA,NA,NA,NA,NA
GS14_GC02_168,GS14_GC02,GS14,GC02,168,NA,0.00399,0.00399,0,0.0311156049328,0
GS14_GC02_175,GS14_GC02,GS14,GC02,175,NA,NA,NA,NA,NA,NA
GS14_GC02_182,GS14_GC02,GS14,GC02,182,NA,0.00338,0.00338,0,0.0313477397739,0
GS14_GC02_190,GS14_GC02,GS14,GC02,190,NA,NA,NA,NA,NA,NA
GS14_GC02_196,GS14_GC02,GS14,GC02,196,NA,0.00293,0.00293,0,0.0321765692671,0
GS14_GC02_212,GS14_GC02,GS14,GC02,212,NA,0.00326,0.00326,0,0.0320011986899,0
GS14_GC02_215,GS14_GC02,GS14,GC02,215,NA,NA,NA,NA,NA,NA
GS14_GC04_1.5,GS14_GC04,GS14,GC04,1.5,0.015,NA,NA,NA,NA,NA
GS14_GC04_3,GS14_GC04,GS14,GC04,3,NA,0.03132,0.03132,0,0,0
GS14_GC04_5,GS14_GC04,GS14,GC04,5,0.00115,NA,NA,NA,NA,NA
GS14_GC04_9,GS14_GC04,GS14,GC04,9,NA,NA,NA,NA,NA,NA
GS14_GC04_10,GS14_GC04,GS14,GC04,10,0.00085,NA,NA,NA,NA,NA
GS14_GC04_15,GS14_GC04,GS14,GC04,15,NA,0.02794,0.02794,0,0.0067667779726,0
GS14_GC04_20,GS14_GC04,GS14,GC04,20,NA,NA,NA,NA,NA,NA
GS14_GC04_23,GS14_GC04,GS14,GC04,23,0,NA,NA,NA,NA,NA
GS14_GC04_27,GS14_GC04,GS14,GC04,27,0,NA,NA,NA,NA,NA
GS14_GC04_30,GS14_GC04,GS14,GC04,30,0,NA,NA,NA,NA,NA
GS14_GC04_35,GS14_GC04,GS14,GC04,35,0,0.02026,0.02026,0,0.0351125957116,0
GS14_GC04_40,GS14_GC04,GS14,GC04,40,0,NA,NA,NA,NA,NA
GS14_GC04_50,GS14_GC04,GS14,GC04,50,0,NA,NA,NA,NA,NA
GS14_GC04_55,GS14_GC04,GS14,GC04,55,0,0.0153,0.0153,0,0.061488716021,0
GS14_GC04_69,GS14_GC04,GS14,GC04,69,0,0.011772,0.01326,0,0.0796000463532,0
GS14_GC04_75,GS14_GC04,GS14,GC04,75,0,NA,NA,NA,NA,NA
GS14_GC04_80,GS14_GC04,GS14,GC04,80,0,0.008273,0.01088,0,0.0975675551503,0
GS14_GC04_92,GS14_GC04,GS14,GC04,92,0,0.006187,0.0093,0,0.1161413584946,0
GS14_GC04_100,GS14_GC04,GS14,GC04,100,0,NA,NA,NA,NA,NA
GS14_GC04_105,GS14_GC04,GS14,GC04,105,0,0.004761,0.00807,0,0.1384306660778,0
GS14_GC04_115,GS14_GC04,GS14,GC04,115,0,NA,NA,NA,NA,NA
GS14_GC04_123,GS14_GC04,GS14,GC04,123,0,0.001652,0.00484,0,0.1562202281399,0
GS14_GC04_130,GS14_GC04,GS14,GC04,130,0,NA,NA,NA,NA,NA
GS14_GC04_136,GS14_GC04,GS14,GC04,136,0,0.000837,0.00358,0,0.162762929401,0
GS14_GC04_152,GS14_GC04,GS14,GC04,152,0,0.000249,0.00239,0,0.1757692577926,0
GS14_GC04_160,GS14_GC04,GS14,GC04,160,0,NA,NA,NA,NA,NA
GS14_GC04_167,GS14_GC04,GS14,GC04,167,0,0,0.00107,0,0.1878890203032,0
GS14_GC04_183,GS14_GC04,GS14,GC04,183,0,0,0,0,0.1901859853371,0
GS14_GC04_190,GS14_GC04,GS14,GC04,190,0,NA,NA,NA,NA,NA
GS14_GC04_196,GS14_GC04,GS14,GC04,196,0,0,0,0,0.1962900037618,0
GS14_GC04_213,GS14_GC04,GS14,GC04,213,0,0,0,0.00245,0.2005701679079,0
GS14_GC04_220,GS14_GC04,GS14,GC04,220,0,NA,NA,NA,NA,NA
GS14_GC04_224,GS14_GC04,GS14,GC04,224,0,0,0,0.00277,0.2020066952367,0
GS14_GC04_230,GS14_GC04,GS14,GC04,230,0,NA,NA,NA,NA,NA
GS14_GC04_237,GS14_GC04,GS14,GC04,237,0,0,0,0.00298,0.2033910125693,0
GS14_GC08_1,GS14_GC08,GS14,GC08,1,0.162,NA,NA,NA,NA,NA
GS14_GC08_3,GS14_GC08,GS14,GC08,3,NA,0.0315,0.0315,0,0,0
GS14_GC08_10,GS14_GC08,GS14,GC08,10,0.11,NA,NA,NA,NA,NA
GS14_GC08_15,GS14_GC08,GS14,GC08,15,NA,0.03117,0.03117,0,0,0
GS14_GC08_20,GS14_GC08,GS14,GC08,20,0.083,NA,NA,NA,NA,NA
GS14_GC08_26,GS14_GC08,GS14,GC08,26,NA,0.02898,0.02898,0,0.0000824204699,0
GS14_GC08_30,GS14_GC08,GS14,GC08,30,0.064,NA,NA,NA,NA,NA
GS14_GC08_35,GS14_GC08,GS14,GC08,35,NA,0.02837,0.02837,0,0.0007842284194,0
GS14_GC08_40,GS14_GC08,GS14,GC08,40,NA,NA,NA,NA,NA,NA
GS14_GC08_45,GS14_GC08,GS14,GC08,45,NA,0.0264,0.0264,0,0.0000375352344,0
GS14_GC08_50,GS14_GC08,GS14,GC08,50,0.037,NA,NA,NA,NA,NA
GS14_GC08_56,GS14_GC08,GS14,GC08,56,NA,0.02491,0.02491,0,0,0
GS14_GC08_64,GS14_GC08,GS14,GC08,64,NA,0.02384,0.02384,0,0.000025354818,0
GS14_GC08_70,GS14_GC08,GS14,GC08,70,0.019,NA,NA,NA,NA,NA
GS14_GC08_75,GS14_GC08,GS14,GC08,75,NA,0.02206,0.02206,0,0,0
GS14_GC08_88,GS14_GC08,GS14,GC08,88,NA,0.01919,0.01919,0,0,0
GS14_GC08_90,GS14_GC08,GS14,GC08,90,0.006,NA,NA,NA,NA,NA
GS14_GC08_97,GS14_GC08,GS14,GC08,97,NA,0.01725,0.01725,0,0,0
GS14_GC08_100,GS14_GC08,GS14,GC08,100,0.002,NA,NA,NA,NA,NA
GS14_GC08_105,GS14_GC08,GS14,GC08,105,0.0015,NA,NA,NA,NA,NA
GS14_GC08_109,GS14_GC08,GS14,GC08,109,NA,0.01397,0.01397,0,0.0001936690599,0
GS14_GC08_110,GS14_GC08,GS14,GC08,110,0.001,NA,NA,NA,NA,NA
GS14_GC08_119,GS14_GC08,GS14,GC08,119,NA,0.01219,0.01219,0,0.010429157883,0
GS14_GC08_120,GS14_GC08,GS14,GC08,120,0.0008,NA,NA,NA,NA,NA
GS14_GC08_130,GS14_GC08,GS14,GC08,130,NA,NA,NA,NA,NA,NA
GS14_GC08_140,GS14_GC08,GS14,GC08,140,0.0006,0.00627,0.00627,0,0.0314542529886,0
GS14_GC08_160,GS14_GC08,GS14,GC08,160,NA,NA,NA,NA,NA,NA
GS14_GC08_170,GS14_GC08,GS14,GC08,170,NA,0,0,0.0009,0.0624299286723,0
GS14_GC08_180,GS14_GC08,GS14,GC08,180,0.0009,NA,NA,NA,NA,NA
GS14_GC08_190,GS14_GC08,GS14,GC08,190,NA,NA,NA,NA,NA,NA
GS14_GC08_195,GS14_GC08,GS14,GC08,195,NA,0,0,0.00406,0.0841026393249,0
GS14_GC08_220,GS14_GC08,GS14,GC08,220,NA,NA,NA,NA,NA,NA
GS14_GC08_228,GS14_GC08,GS14,GC08,228,NA,0,0,0.01035,0.1097876333193,0
GS14_GC08_250,GS14_GC08,GS14,GC08,250,NA,NA,NA,NA,NA,NA
GS14_GC08_259,GS14_GC08,GS14,GC08,259,NA,0,0,0.01665,0.1265750897091,0
GS14_GC08_280,GS14_GC08,GS14,GC08,280,NA,NA,NA,NA,NA,NA
GS14_GC08_288,GS14_GC08,GS14,GC08,288,NA,0,0,0.02288,0.1412835741475,0
GS14_GC08_292,GS14_GC08,GS14,GC08,292,NA,NA,NA,NA,NA,NA
GS14_GC08_306,GS14_GC08,GS14,GC08,306,0.0006,NA,NA,NA,NA,NA
GS14_GC08_308,GS14_GC08,GS14,GC08,308,NA,0,0,0.02785,0.1615309756198,0.00035126781686123
GS14_GC08_310,GS14_GC08,GS14,GC08,310,NA,NA,NA,NA,NA,NA
GS14_GC08_320,GS14_GC08,GS14,GC08,320,NA,0,0,0.03213,0.1473487845916,0
GS14_GC08_337,GS14_GC08,GS14,GC08,337,NA,0,0,0.03508,0.1590643443048,0
